17:45:12  start: 20 epochs × 5169 steps
18:01:10  step     50  loss=6.7112  lr=1.00e-04  gnorm=2.561  tok/s=296
18:17:28  step    100  loss=5.8032  lr=1.00e-04  gnorm=1.644  tok/s=314
18:33:43  step    150  loss=4.8481  lr=1.00e-04  gnorm=1.428  tok/s=317
18:50:00  step    200  loss=4.7162  lr=1.00e-04  gnorm=1.752  tok/s=314
19:06:19  step    250  loss=5.1516  lr=1.00e-04  gnorm=2.089  tok/s=314
19:22:39  step    300  loss=4.6308  lr=1.00e-04  gnorm=1.902  tok/s=313
19:38:58  step    350  loss=4.0681  lr=1.00e-04  gnorm=1.804  tok/s=315
19:55:17  step    400  loss=4.7944  lr=1.00e-04  gnorm=2.160  tok/s=314
20:11:27  step    450  loss=5.6948  lr=1.00e-04  gnorm=2.004  tok/s=318
20:27:34  step    500  loss=6.0767  lr=1.00e-04  gnorm=2.221  tok/s=319
20:43:39  step    550  loss=5.4764  lr=1.00e-04  gnorm=1.988  tok/s=319
20:59:43  step    600  loss=5.6314  lr=1.00e-04  gnorm=2.311  tok/s=318
21:14:33  epoch 1 done · saved meeting_model_kda00.pt
21:15:50  step    650  loss=3.2515  lr=1.00e-04  gnorm=2.550  tok/s=320
21:31:54  step    700  loss=4.8098  lr=1.00e-04  gnorm=2.135  tok/s=318
21:47:58  step    750  loss=3.6458  lr=1.00e-04  gnorm=2.108  tok/s=317
22:04:00  step    800  loss=3.6219  lr=1.00e-04  gnorm=2.412  tok/s=323
22:20:00  step    850  loss=3.3533  lr=1.00e-04  gnorm=2.728  tok/s=322
22:36:02  step    900  loss=3.8541  lr=1.00e-04  gnorm=2.562  tok/s=320
22:52:02  step    950  loss=4.1221  lr=1.00e-04  gnorm=2.733  tok/s=319
23:08:00  step   1000  loss=3.3524  lr=1.00e-04  gnorm=3.116  tok/s=321
23:23:57  step   1050  loss=3.0010  lr=1.00e-04  gnorm=2.400  tok/s=323
23:39:53  step   1100  loss=3.3114  lr=1.00e-04  gnorm=3.404  tok/s=322
23:55:51  step   1150  loss=4.5752  lr=1.00e-04  gnorm=3.124  tok/s=323
00:11:47  step   1200  loss=3.2615  lr=1.00e-04  gnorm=2.875  tok/s=320
00:27:44  step   1250  loss=3.1273  lr=1.00e-04  gnorm=2.092  tok/s=321
00:43:44  step   1300  loss=2.1240  lr=1.00e-04  gnorm=2.746  tok/s=320
00:59:42  step   1350  loss=4.0000  lr=1.00e-04  gnorm=2.862  tok/s=321
01:15:39  step   1400  loss=3.0192  lr=1.00e-04  gnorm=3.049  tok/s=323
01:31:35  step   1450  loss=2.7173  lr=1.00e-04  gnorm=2.549  tok/s=322
01:47:31  step   1500  loss=2.8237  lr=1.00e-04  gnorm=3.333  tok/s=318
02:03:26  step   1550  loss=3.4458  lr=1.00e-04  gnorm=3.424  tok/s=324
02:19:20  step   1600  loss=3.7001  lr=1.00e-04  gnorm=3.375  tok/s=323
02:35:16  step   1650  loss=4.2626  lr=1.00e-04  gnorm=3.355  tok/s=320
02:51:17  step   1700  loss=2.5826  lr=1.00e-04  gnorm=3.350  tok/s=331
